Concurso;data;num_1;num_2;num_3;num_4;num_5;num_6;num_7;num_8;num_9;num_10;num_11;num_12;num_13;num_14;num_15;num_16;num_17;num_18;num_19;num_20;num_21;num_22;num_23;num_24;num_25
1;29/09/2003;0;1;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1
2;6/10/2003;1;0;0;1;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0
3;13/10/2003;1;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;1;1;0
4;20/10/2003;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;1;1;1
5;27/10/2003;1;1;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1
6;3/11/2003;1;1;0;1;1;1;1;0;0;1;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1
7;10/11/2003;1;0;0;1;0;0;1;1;0;1;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1
8;17/11/2003;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1
9;24/11/2003;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1
10;1/12/2003;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;1;1;0
11;8/12/2003;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;1;1;1
12;15/12/2003;1;1;0;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;1
13;22/12/2003;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0
14;29/12/2003;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;0;1
15;5/1/2004;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;1
16;12/1/2004;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1
17;19/01/2004;1;1;1;0;1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0
18;26/01/2004;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;1;1;0
19;2/2/2004;0;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;0;0;1;1;0
20;9/2/2004;0;0;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;0;1;1;0
21;16/02/2004;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1
22;25/02/2004;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1
23;1/3/2004;1;0;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0
24;8/3/2004;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;1;1;1
25;15/03/2004;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0
26;22/03/2004;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0
27;29/03/2004;0;0;1;0;0;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;0;1;1
28;5/4/2004;1;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0
29;12/4/2004;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;0
30;19/04/2004;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;0;0
31;26/04/2004;1;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1
32;3/5/2004;1;1;0;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0
33;10/5/2004;1;1;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;1;1;0
34;17/05/2004;1;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;0;0
35;24/05/2004;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1
36;31/05/2004;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0
37;7/6/2004;1;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0
38;14/06/2004;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1
39;21/06/2004;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0
40;28/06/2004;1;1;0;0;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;1;0;1;0
41;5/7/2004;0;1;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1
42;12/7/2004;1;0;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;0;1;1
